Date,Event,Category
2011-02-15,Arab Spring uprisings begin,Geopolitical Conflict
2014-11-27,OPEC decides not to cut oil production,OPEC Policy
2015-07-14,Iran nuclear deal signed,Sanctions
2016-01-16,Iran sanctions lifted,Sanctions
2018-05-08,US withdraws from Iran nuclear deal,Sanctions
2020-03-06,OPEC+ talks collapse,Price War
2020-03-11,WHO declares COVID-19 a pandemic,Global Shock
2020-04-12,OPEC+ historic production cut,OPEC Policy
2022-02-24,Russia invades Ukraine,Geopolitical Conflict
2022-03-08,US bans Russian oil imports,Sanctions
2022-10-05,OPEC+ announces production cuts,OPEC Policy
